2020-08-12 17:55:35,896 INFO  - WORKER OUTPUT: C:\Job\worker\rvt-translate\20200812-4c8bf6\minimap\bin\MiniMap.exe --model C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\resource/model/ --output C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\thumbnail/ --config C:\Job\worker\rvt-translate\20200812-4c8bf6\minimap\bin\thumbnail-512.json
2020-08-12 17:55:36,959 INFO  - WORKER OUTPUT: For test.
2020-08-12 17:55:36,959 INFO  - WORKER OUTPUT: C:\Job\worker\rvt-translate\20200812-4c8bf6\minimap\imagetool\ImageTool.exe --model resize --filepath1 C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\thumbnail/512.png --filepath2 C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\thumbnail\256.png --w 256 --h 256
2020-08-12 17:55:36,974 INFO  - WORKER OUTPUT: src image address: C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\thumbnail/512.png
2020-08-12 17:55:36,974 INFO  - WORKER OUTPUT: save image address: C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\thumbnail\256.png
2020-08-12 17:55:36,974 INFO  - WORKER OUTPUT: height: 256
2020-08-12 17:55:36,974 INFO  - WORKER OUTPUT: width: 256
2020-08-12 17:55:36,974 INFO  - WORKER OUTPUT: quality: -1
2020-08-12 17:55:36,974 INFO  - WORKER OUTPUT:  the file is a jpg/bmp/png .
2020-08-12 17:55:36,974 INFO  - WORKER OUTPUT: Input image is valid.
2020-08-12 17:55:36,990 INFO  - WORKER OUTPUT: retValue : 1
2020-08-12 17:55:36,990 INFO  - WORKER OUTPUT: >> TASK END: thumbnail 0:00:01.109431
2020-08-12 17:55:36,990 INFO  - WORKER OUTPUT: ___________________________________________
2020-08-12 17:55:36,990 INFO  - WORKER OUTPUT: >> TASK START: resizeImage96 2020-08-12 17:55:36.990426
2020-08-12 17:55:36,990 INFO  - WORKER OUTPUT: C:\Job\worker\rvt-translate\20200812-4c8bf6\minimap\imagetool\ImageTool.exe --model resize --filepath1 C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\thumbnail/512.png --filepath2 C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\thumbnail\96.png --w 96 --h 96
2020-08-12 17:55:37,006 INFO  - WORKER OUTPUT: src image address: C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\thumbnail/512.png
2020-08-12 17:55:37,006 INFO  - WORKER OUTPUT: save image address: C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\thumbnail\96.png
2020-08-12 17:55:37,006 INFO  - WORKER OUTPUT: height: 96
2020-08-12 17:55:37,006 INFO  - WORKER OUTPUT: width: 96
2020-08-12 17:55:37,006 INFO  - WORKER OUTPUT: quality: -1
2020-08-12 17:55:37,006 INFO  - WORKER OUTPUT:  the file is a jpg/bmp/png .
2020-08-12 17:55:37,006 INFO  - WORKER OUTPUT: Input image is valid.
2020-08-12 17:55:37,021 INFO  - WORKER OUTPUT: retValue : 1
2020-08-12 17:55:37,021 INFO  - WORKER OUTPUT: >> TASK END: resizeImage96 0:00:00.031252
2020-08-12 17:55:37,021 INFO  - WORKER OUTPUT: ___________________________________________
2020-08-12 17:55:37,021 INFO  - WORKER OUTPUT: >> TASK START: levelmap 2020-08-12 17:55:37.021678
2020-08-12 17:55:37,021 INFO  - WORKER OUTPUT: C:\Job\worker\rvt-translate\20200812-4c8bf6\minimap\bin\MiniMap.exe --model C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\resource/model/ --output C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\resource/model/maps/ --config C:\Job\worker\rvt-translate\20200812-4c8bf6\minimap\bin\setting.json
2020-08-12 17:55:39,224 INFO  - WORKER OUTPUT: >> TASK END: levelmap 0:00:02.187531
2020-08-12 17:55:39,224 INFO  - WORKER OUTPUT: ___________________________________________
2020-08-12 17:55:39,224 INFO  - WORKER OUTPUT: >> TASK START: md2viz3 2020-08-12 17:55:39.224827
2020-08-12 17:55:39,224 INFO  - WORKER OUTPUT: converting databag to bmd
2020-08-12 17:55:39,224 INFO  - WORKER OUTPUT: Python Md2Viz3Task start.
2020-08-12 17:55:39,224 INFO  - WORKER OUTPUT: loadOnDemand False
2020-08-12 17:55:39,224 INFO  - WORKER OUTPUT: C:\Job\worker\rvt-translate\20200812-4c8bf6\md2viz\bin3/MPK2BMD.exe --output "C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\resource/v3/model/" --config "C:\Job\worker\rvt-translate\20200812-4c8bf6\md2viz\bin3/config.json" --input "C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\resource/model/" --rebuildMesh true --meshSimplify false --mpkBatched false --texturePkg 7 --visibilityByVoxel true --bmpkMerged true
2020-08-12 17:55:39,240 INFO  - WORKER OUTPUT: HELLO GLODON MODEL DRIVE!
2020-08-12 17:55:39,240 INFO  - WORKER OUTPUT: Attach C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\resource/model/
2020-08-12 17:55:39,240 INFO  - WORKER OUTPUT: load materials
2020-08-12 17:55:39,240 INFO  - WORKER OUTPUT: load symbol
2020-08-12 17:55:39,256 INFO  - WORKER OUTPUT: load index
2020-08-12 17:55:39,256 INFO  - WORKER OUTPUT: load child scenes: 0
2020-08-12 17:55:39,256 INFO  - WORKER OUTPUT: 
2020-08-12 17:55:39,256 INFO  - WORKER OUTPUT: load main scene: 1
2020-08-12 17:55:39,256 INFO  - WORKER OUTPUT: f59e14129a8dd342eee5a606342dc862
2020-08-12 17:55:39,302 INFO  - WORKER OUTPUT: Load MPK index
2020-08-12 17:55:39,302 INFO  - WORKER OUTPUT: 
2020-08-12 17:55:39,302 INFO  - WORKER OUTPUT: -----------BMD----------- 
2020-08-12 17:55:39,302 INFO  - WORKER OUTPUT: Start write BMD files: 
2020-08-12 17:55:39,302 INFO  - WORKER OUTPUT: Phase 0: phase_prepare_scaleToMeter Skip
2020-08-12 17:55:39,302 INFO  - WORKER OUTPUT: Phase 1: Phase_data_userdata
2020-08-12 17:55:39,302 INFO  - WORKER OUTPUT:     Write user data: C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\resource/v3/model/userdata\userdata.gz
2020-08-12 17:55:39,302 INFO  - WORKER OUTPUT:     Write user ID: C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\resource/v3/model/scene\user_id.gz
2020-08-12 17:55:39,302 INFO  - WORKER OUTPUT: Phase 2: Phase_data_material
2020-08-12 17:55:39,318 INFO  - WORKER OUTPUT:     Write material: C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\resource/v3/model/material\material.gz
2020-08-12 17:55:39,318 INFO  - WORKER OUTPUT: Phase 3: Phase_data_line
2020-08-12 17:55:39,318 INFO  - WORKER OUTPUT: Phase 4: phase_prepare_voxelVisibility Skip
2020-08-12 17:55:39,318 INFO  - WORKER OUTPUT: Phase 5: phase_prepare_primitive
2020-08-12 17:55:39,506 INFO  - WORKER OUTPUT:     Warning: ParseMeshPackage() skip mesh count: 0
2020-08-12 17:55:39,506 INFO  - WORKER OUTPUT: Phase 6: phase_prepare_duplicateVertex
2020-08-12 17:55:39,521 INFO  - WORKER OUTPUT:     Deleted vertex count: 912
2020-08-12 17:55:39,521 INFO  - WORKER OUTPUT: Phase 7: phase_prepare_updateMatrix
2020-08-12 17:55:39,537 INFO  - WORKER OUTPUT: Phase 8: Phase_data_mpk
2020-08-12 17:55:39,537 INFO  - WORKER OUTPUT:     Write mpk: 
2020-08-12 17:55:39,537 INFO  - WORKER OUTPUT:         mpk_type_0 id: 0
2020-08-12 17:55:39,568 INFO  - WORKER OUTPUT:         mpk_type_1 id: 00
2020-08-12 17:55:39,584 INFO  - WORKER OUTPUT:         mpk_type_2 id: 11
2020-08-12 17:55:39,584 INFO  - WORKER OUTPUT: Phase 9: Phase_data_outline
2020-08-12 17:55:39,646 INFO  - WORKER OUTPUT:     Write outline_mpk: 001
2020-08-12 17:55:39,693 INFO  - WORKER OUTPUT:     Write outline: C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\resource/v3/model/outline\outline_0.gz
2020-08-12 17:55:39,724 INFO  - WORKER OUTPUT:     Write outline: C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\resource/v3/model/outline\outline_1.gz
2020-08-12 17:55:39,724 INFO  - WORKER OUTPUT: Phase 10: Phase_data_bmpk
2020-08-12 17:55:39,724 INFO  - WORKER OUTPUT:     Write bmpk: 
2020-08-12 17:55:39,740 INFO  - WORKER OUTPUT:         bmpk_type_0 id: 0
2020-08-12 17:55:39,756 INFO  - WORKER OUTPUT:         bmpk_type_1 id: 00
2020-08-12 17:55:39,771 INFO  - WORKER OUTPUT:         bmpk_type_2 id: 01
2020-08-12 17:55:39,771 INFO  - WORKER OUTPUT:     Write bmpk index: C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\resource/v3/model/bmpk\index.gz
2020-08-12 17:55:39,771 INFO  - WORKER OUTPUT: Phase 11: Phase_data_mesh_index
2020-08-12 17:55:39,771 INFO  - WORKER OUTPUT:     Create mesh index: 0
2020-08-12 17:55:39,771 INFO  - WORKER OUTPUT: Phase 12: Phase_data_symbol
2020-08-12 17:55:39,787 INFO  - WORKER OUTPUT:     Write symbols: 130
2020-08-12 17:55:39,787 INFO  - WORKER OUTPUT: Phase 13: Phase_data_scene
2020-08-12 17:55:39,787 INFO  - WORKER OUTPUT:     Write scenes: 
2020-08-12 17:55:39,787 INFO  - WORKER OUTPUT:     Write user_data index: C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\resource/v3/model/scene\userdata_index.gz
2020-08-12 17:55:39,787 INFO  - WORKER OUTPUT:     octree_o_count: 0
2020-08-12 17:55:39,787 INFO  - WORKER OUTPUT:     octree_i_count: 543
2020-08-12 17:55:39,802 INFO  - WORKER OUTPUT: Phase 14:Phase_data_matedata
2020-08-12 17:55:39,802 INFO  - WORKER OUTPUT:     Write metadata: C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\resource/v3/model/config.json
2020-08-12 17:55:39,802 INFO  - WORKER OUTPUT:     Write Scene Statistics: C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\resource/v3/model/sceneStatistics.json
2020-08-12 17:55:39,802 INFO  - WORKER OUTPUT: Done
2020-08-12 17:55:39,802 INFO  - WORKER OUTPUT: -----------BMD----------- 
2020-08-12 17:55:39,818 INFO  - WORKER OUTPUT: model size: 725679 bytes
2020-08-12 17:55:39,818 INFO  - WORKER OUTPUT: Python Md2Viz3Task finished.
2020-08-12 17:55:39,818 INFO  - WORKER OUTPUT: >> TASK END: md2viz3 0:00:00.593774
2020-08-12 17:55:39,834 INFO  - WORKER OUTPUT: ___________________________________________
2020-08-12 17:55:39,834 INFO  - WORKER OUTPUT: >> TASK START: dwg2mdv 2020-08-12 17:55:39.818601
2020-08-12 17:55:39,834 INFO  - WORKER OUTPUT: CustomConfig do not export drawing.
2020-08-12 17:55:39,834 INFO  - WORKER OUTPUT: >> TASK END: dwg2mdv 0:00:00
2020-08-12 17:55:39,834 INFO  - WORKER OUTPUT: ___________________________________________
2020-08-12 17:55:39,834 INFO  - WORKER OUTPUT: >> TASK START: dwg2pdf 2020-08-12 17:55:39.818601
2020-08-12 17:55:39,834 INFO  - WORKER OUTPUT: CustomConfig do not export drawing.
2020-08-12 17:55:39,834 INFO  - WORKER OUTPUT: >> TASK END: dwg2pdf 0:00:00
2020-08-12 17:55:39,834 INFO  - WORKER OUTPUT: ___________________________________________
2020-08-12 17:55:39,834 INFO  - WORKER OUTPUT: >> TASK START: litelocalpack 2020-08-12 17:55:39.818601
2020-08-12 17:55:39,834 INFO  - WORKER OUTPUT: Skip the localpack step
2020-08-12 17:55:39,834 INFO  - WORKER OUTPUT: >> TASK END: litelocalpack 0:00:00
2020-08-12 17:55:39,834 INFO  - WORKER OUTPUT: ___________________________________________
2020-08-12 17:55:39,849 INFO  - WORKER OUTPUT: >> TASK START: elementsTree 2020-08-12 17:55:39.818601
2020-08-12 17:55:39,849 INFO  - WORKER OUTPUT: Sorting specialties and floors.
2020-08-12 17:55:39,849 INFO  - WORKER OUTPUT: C:\Job\wd\1652228669273120\f59e14129a8dd342eee5a606342dc862\data/tree.json
2020-08-12 17:55:39,849 INFO  - WORKER OUTPUT: >> TASK END: elementsTree 0:00:00.031237
2020-08-12 17:55:39,849 INFO  - WORKER OUTPUT: ___________________________________________
2020-08-12 17:55:39,849 INFO  - WORKER OUTPUT: >> TASK START: manifest 2020-08-12 17:55:39.849838
